Date,BGT North of NE 70th St Logger Total Cyclists,Elliott Bay Trl in Myrtle Edwards Park Total Cyclists,MTS Trl West of I-90 Bridge Total Cyclists,Spokane St. Bridge Total Cyclists
07/04/2015 00:00,2239,1339,1188,808
07/05/2015 00:00,2083,1299,1340,715
07/06/2015 00:00,1831,1887,884,1253
07/07/2015 00:00,2010,2068,1112,1483
07/08/2015 00:00,1936,2101,1039,1533
07/09/2015 00:00,1783,2141,954,1339
07/10/2015 00:00,1566,1701,734,1072
07/11/2015 00:00,2075,1071,1105,676
07/12/2015 00:00,2199,1427,1160,686
07/13/2015 00:00,1410,1749,739,1165
07/14/2015 00:00,1919,2195,1093,1407
07/15/2015 00:00,1902,2096,991,1430
07/16/2015 00:00,1725,2080,928,1329
07/17/2015 00:00,1599,1936,939,1208
07/18/2015 00:00,2489,1619,1290,898
07/19/2015 00:00,2247,1257,1132,744
07/20/2015 00:00,1694,1741,844,1214
07/21/2015 00:00,1654,1841,792,1072
07/22/2015 00:00,1835,2114,1079,1417
07/23/2015 00:00,1894,2064,1001,1280
07/24/2015 00:00,1385,1427,676,955
07/25/2015 00:00,1243,839,724,476
07/26/2015 00:00,1308,855,828,463
07/27/2015 00:00,1657,1910,846,1178
07/28/2015 00:00,2064,2231,1134,1502
07/29/2015 00:00,1845,2182,1019,1548
07/30/2015 00:00,1833,2065,1002,1356
07/31/2015 00:00,1601,1970,1044,1138
08/01/2015 00:00,2439,1503,1179,831
08/02/2015 00:00,2416,1524,1080,798
08/03/2015 00:00,1800,1951,857,1298
08/04/2015 00:00,1882,2020,1114,1402
08/05/2015 00:00,1497,1690,812,1230
08/06/2015 00:00,1686,1975,978,1277
08/07/2015 00:00,1837,1877,876,1166
08/08/2015 00:00,2000,1265,1014,639
08/09/2015 00:00,2479,1572,1665,954
08/10/2015 00:00,1705,1759,786,1187
08/11/2015 00:00,1905,1949,1017,1390
08/12/2015 00:00,1688,1756,821,1335
08/13/2015 00:00,1688,1813,1052,1304
08/14/2015 00:00,1524,644,273,540
08/15/2015 00:00,2612,498,810,568
08/16/2015 00:00,2313,718,1285,832
08/17/2015 00:00,1754,1830,822,1220
08/18/2015 00:00,1773,1990,1024,1363
08/19/2015 00:00,1655,2003,909,1365
08/20/2015 00:00,1417,1759,796,1166
08/21/2015 00:00,1421,1539,713,948
08/22/2015 00:00,2289,1342,1062,836
08/23/2015 00:00,2272,1445,1221,716
08/24/2015 00:00,1524,1780,765,1192
08/25/2015 00:00,1558,1964,935,1388
08/26/2015 00:00,1661,1963,977,1316
08/27/2015 00:00,1725,2181,1037,1326
08/28/2015 00:00,953,1213,466,697
08/29/2015 00:00,465,292,221,214
08/30/2015 00:00,923,668,405,292
08/31/2015 00:00,654,1047,424,804
09/01/2015 00:00,671,1104,425,753
09/02/2015 00:00,1144,1452,614,1054
09/03/2015 00:00,946,1340,544,960
09/04/2015 00:00,1028,1253,682,899
09/05/2015 00:00,2114,1064,947,587
09/06/2015 00:00,652,467,303,227
09/07/2015 00:00,2275,1502,1170,829
09/08/2015 00:00,1171,1515,677,1149
09/09/2015 00:00,1571,1922,857,1275
09/10/2015 00:00,1445,1786,848,1256
09/11/2015 00:00,1477,1666,776,1074
09/12/2015 00:00,2122,1362,1061,824
09/13/2015 00:00,1133,774,429,341
09/14/2015 00:00,981,1368,537,1017
09/15/2015 00:00,1043,1417,687,1026
09/16/2015 00:00,1262,1503,610,1081
09/17/2015 00:00,533,842,321,730
09/18/2015 00:00,953,1208,576,849
09/19/2015 00:00,1448,930,870,553
09/20/2015 00:00,937,700,514,374
09/21/2015 00:00,1132,1681,689,1185
09/22/2015 00:00,1306,2027,902,1400
09/23/2015 00:00,1353,1995,878,1420
09/24/2015 00:00,1171,1676,769,1234
09/25/2015 00:00,627,1015,364,626
09/26/2015 00:00,1466,826,914,502
09/27/2015 00:00,1354,942,873,509
09/28/2015 00:00,1127,1625,671,1142
09/29/2015 00:00,1414,1712,807,1328
09/30/2015 00:00,1135,1576,665,1228
10/01/2015 00:00,1069,1469,688,1169
10/02/2015 00:00,708,1093,434,791
10/03/2015 00:00,1410,1035,835,492
10/04/2015 00:00,1733,1378,1027,639
